"Category","Application_Date","Latitude","Longitude"
"SINGLE FAMILY / DUPLEX","08/23/2010","47.59147817","-122.29369316"
"COMMERCIAL","08/19/2010","47.52741752","-122.31539753"
"SINGLE FAMILY / DUPLEX","08/17/2010","47.62328531","-122.32378557"
"SINGLE FAMILY / DUPLEX","08/16/2010","47.66626589","-122.26423726"
"SINGLE FAMILY / DUPLEX","08/13/2010","47.65021387","-122.40789392"
"SINGLE FAMILY / DUPLEX","08/12/2010","47.67622337","-122.39326622"
"MULTIFAMILY","08/12/2010","47.61982108","-122.30858747"
"SINGLE FAMILY / DUPLEX","08/11/2010","47.59419119","-122.29503425"
"SINGLE FAMILY / DUPLEX","08/11/2010","47.53797407","-122.38389601"
"SINGLE FAMILY / DUPLEX","08/09/2010","47.56803932","-122.37111437"
"SINGLE FAMILY / DUPLEX","08/05/2010","47.69871176","-122.27698603"
"COMMERCIAL","08/04/2010","47.60185619","-122.31704594"
"SINGLE FAMILY / DUPLEX","08/03/2010","47.50939601","-122.38604332"
"SINGLE FAMILY / DUPLEX","07/30/2010","47.64195044","-122.34776073"
"SINGLE FAMILY / DUPLEX","07/30/2010","47.60790553","-122.31787936"
"SINGLE FAMILY / DUPLEX","07/30/2010","47.69016469","-122.35850625"
"SINGLE FAMILY / DUPLEX","07/28/2010","47.67470006","-122.32689556"
"SINGLE FAMILY / DUPLEX","07/27/2010","47.55238678","-122.36267487"
"SINGLE FAMILY / DUPLEX","07/27/2010","47.60611305","-122.28983081"
"COMMERCIAL","07/21/2010","47.57282774","-122.33359521"
"COMMERCIAL","07/20/2010","47.59614654","-122.31388861"
"MULTIFAMILY","07/20/2010","47.65976827","-122.32112391"
"SINGLE FAMILY / DUPLEX","07/15/2010","47.57949021","-122.38550876"
"SINGLE FAMILY / DUPLEX","07/14/2010","47.67582146","-122.37812371"
"SINGLE FAMILY / DUPLEX","07/14/2010","47.66045162","-122.35485628"
"SINGLE FAMILY / DUPLEX","07/12/2010","47.61466943","-122.28572966"
"SINGLE FAMILY / DUPLEX","07/09/2010","47.66084393","-122.27128382"
"SINGLE FAMILY / DUPLEX","07/08/2010","47.70474192","-122.3208026"
"SINGLE FAMILY / DUPLEX","07/06/2010","47.55410299","-122.39730029"
"SINGLE FAMILY / DUPLEX","07/06/2010","47.68415754","-122.29238258"
"SINGLE FAMILY / DUPLEX","07/06/2010","47.6718096","-122.37135766"
"SINGLE FAMILY / DUPLEX","06/23/2010","47.68577838","-122.33386015"
"SINGLE FAMILY / DUPLEX","06/21/2010","47.6617546","-122.36342164"
"SINGLE FAMILY / DUPLEX","06/16/2010","47.57226","-122.29472679"
"SINGLE FAMILY / DUPLEX","06/15/2010","47.50754118","-122.24902409"
"SINGLE FAMILY / DUPLEX","06/11/2010","47.63549799","-122.28442222"
"COMMERCIAL","06/09/2010","47.63520648","-122.3257155"
"COMMERCIAL","06/08/2010","47.57102685","-122.28967623"
"COMMERCIAL","06/08/2010","47.53197266","-122.31223954"
"SINGLE FAMILY / DUPLEX","06/04/2010","47.68572589","-122.33558423"
"COMMERCIAL","05/27/2010","47.65251621","-122.35847186"
"SINGLE FAMILY / DUPLEX","05/21/2010","47.66796943","-122.32995443"
"SINGLE FAMILY / DUPLEX","05/21/2010","47.6237414","-122.30578107"
"INSTITUTIONAL","05/17/2010","47.66853804","-122.3537027"
"SINGLE FAMILY / DUPLEX","05/13/2010","47.57229146","-122.37244312"
"SINGLE FAMILY / DUPLEX","05/12/2010","47.65670984","-122.27084236"
"SINGLE FAMILY / DUPLEX","05/11/2010","47.6934088","-122.29452111"
"INDUSTRIAL","05/05/2010","47.57391018","-122.33228473"
"SINGLE FAMILY / DUPLEX","05/04/2010","47.69374455","-122.30209353"
"SINGLE FAMILY / DUPLEX","04/26/2010","47.65934697","-122.28947617"
"SINGLE FAMILY / DUPLEX","04/30/2010","47.67121199","-122.37811823"
"SINGLE FAMILY / DUPLEX","04/30/2010","47.69774094","-122.28310689"
"SINGLE FAMILY / DUPLEX","04/19/2010","47.69742846","-122.35967519"
"MULTIFAMILY","04/19/2010","47.58383401","-122.31625981"
"INDUSTRIAL","04/14/2010","47.53246568","-122.33305727"
"SINGLE FAMILY / DUPLEX","04/13/2010","47.58013413","-122.38150621"
"SINGLE FAMILY / DUPLEX","04/13/2010","47.56223908","-122.38714635"
"SINGLE FAMILY / DUPLEX","04/12/2010","47.54600611","-122.25960482"
"SINGLE FAMILY / DUPLEX","04/08/2010","47.54785873","-122.39711168"
"SINGLE FAMILY / DUPLEX","04/08/2010","47.65941157","-122.3586757"
"SINGLE FAMILY / DUPLEX","04/08/2010","47.66557843","-122.28992827"
"SINGLE FAMILY / DUPLEX","04/06/2010","47.63915925","-122.3211009"
"SINGLE FAMILY / DUPLEX","04/06/2010","47.67502616","-122.40155948"
"SINGLE FAMILY / DUPLEX","04/01/2010","47.62783989","-122.35057306"
"SINGLE FAMILY / DUPLEX","03/31/2010","47.65213354","-122.33360651"
"MULTIFAMILY","03/31/2010","47.72005835","-122.29167462"
"MULTIFAMILY","03/31/2010","47.72042419","-122.29107303"
"INSTITUTIONAL","03/29/2010","47.65670002","-122.31510236"
"SINGLE FAMILY / DUPLEX","03/29/2010","47.67373586","-122.29197599"
"COMMERCIAL","03/26/2010","47.66420011","-122.36975963"
"INSTITUTIONAL","03/24/2010","47.70995069","-122.29302366"
"SINGLE FAMILY / DUPLEX","03/23/2010","47.62857731","-122.36397383"
"SINGLE FAMILY / DUPLEX","03/19/2010","47.5203192","-122.39417861"
"SINGLE FAMILY / DUPLEX","03/19/2010","47.6936095","-122.33882772"
"SINGLE FAMILY / DUPLEX","03/11/2010","47.61954927","-122.3190182"
"SINGLE FAMILY / DUPLEX","03/09/2010","47.51958724","-122.28743854"
"SINGLE FAMILY / DUPLEX","03/08/2010","47.64006007","-122.36064333"
"SINGLE FAMILY / DUPLEX","03/05/2010","47.60972729","-122.29019298"
"SINGLE FAMILY / DUPLEX","03/03/2010","47.72566993","-122.35854788"
"SINGLE FAMILY / DUPLEX","03/01/2010","47.68472422","-122.29409098"
"SINGLE FAMILY / DUPLEX","02/26/2010","47.70508967","-122.29017427"
"COMMERCIAL","02/23/2010","47.60898868","-122.32024478"
"SINGLE FAMILY / DUPLEX","02/22/2010","47.69605942","-122.31636831"
"SINGLE FAMILY / DUPLEX","02/17/2010","47.66867974","-122.2660346"
"SINGLE FAMILY / DUPLEX","02/11/2010","47.59249585","-122.29066211"
"COMMERCIAL","02/10/2010","47.6248471","-122.33547912"
"COMMERCIAL","02/10/2010","47.62480191","-122.33674577"
"COMMERCIAL","02/10/2010","47.62516111","-122.33487018"
"COMMERCIAL","02/10/2010","47.62482685","-122.33630293"
"COMMERCIAL","02/10/2010","47.62498078","-122.33884523"
"COMMERCIAL","02/10/2010","47.62553839","-122.33482209"
"COMMERCIAL","02/10/2010","47.62481854","-122.34072099"
"SINGLE FAMILY / DUPLEX","02/08/2010","47.65920082","-122.38504937"
"SINGLE FAMILY / DUPLEX","02/08/2010","47.65902201","-122.38522507"
"SINGLE FAMILY / DUPLEX","02/02/2010","47.70380375","-122.34990239"
"SINGLE FAMILY / DUPLEX","02/01/2010","47.68638529","-122.36387638"
"SINGLE FAMILY / DUPLEX","01/27/2010","47.64825761","-122.33415446"
"SINGLE FAMILY / DUPLEX","01/26/2010","47.58891419","-122.2997724"
"COMMERCIAL","01/25/2010","47.62208508","-122.35399633"
"COMMERCIAL","01/25/2010","47.62208508","-122.35399633"
"COMMERCIAL","01/20/2010","47.62037756","-122.33628748"
"SINGLE FAMILY / DUPLEX","01/14/2010","47.68063712","-122.27132067"
"SINGLE FAMILY / DUPLEX","01/13/2010","47.68575345","-122.28825249"
"COMMERCIAL","01/12/2010","47.66915419","-122.37459681"
"COMMERCIAL","01/07/2010","47.61445789","-122.31335327"
